"N°DPE","Date_réception_DPE","Date_établissement_DPE","Date_visite_diagnostiqueur","Modèle_DPE","N°_DPE_remplacé","Date_fin_validité_DPE","Version_DPE","N°_DPE_immeuble_associé","Méthode_du_DPE","N°_immatriculation_copropriété","Invariant_fiscal_logement","Etiquette_DPE","Etiquette_GES","Conso_kWhep/m²/an","Emission_GES_kgCO2/m²/an","Année_construction","Catégorie_ERP","Période_construction","Secteur_activité","Nombre_occupant","Surface_(SHON)","Surface_utile","Type_énergie_principale_chauffage","Adresse_brute","Nom__commune_(BAN)","Code_INSEE_(BAN)","N°_voie_(BAN)","Identifiant__BAN","Adresse_(BAN)","Code_postal_(BAN)","Score_BAN","Nom__rue_(BAN)","Coordonnée_cartographique_X_(BAN)","Coordonnée_cartographique_Y_(BAN)","Code_postal_(brut)","N°_étage_appartement","Nom_résidence","Complément_d'adresse_bâtiment","Cage_d'escalier","Complément_d'adresse_logement","Statut_géocodage","Nom__commune_(Brut)","N°_département_(BAN)","N°_région_(BAN)","Conso_é_finale_énergie_n°1","Conso_é_primaire_énergie_n°1","Type_énergie_n°1","Type_usage_énergie_n°1","Frais_annuel_énergie_n°1","Année_relève_conso_énergie_n°1","Conso_é_finale_énergie_n°2","Conso_é_primaire_énergie_n°2","Type_énergie_n°2","Type_usage_énergie_n°2","Frais_annuel_énergie_n°2","Année_relève_conso_énergie_n°2","Conso_é_finale_énergie_n°3","Conso_é_primaire_énergie_n°3","Type_énergie_n°3","Type_usage_énergie_n°3","Frais_annuel_énergie_n°3","Année_relève_conso_énergie_n°3"
"2433T0235091Y","2024-01-22","2024-01-21","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","B",126.6,9.6,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,168,100,,"30 rue Edouard Herriot","Ambarès-et-Lagrave","33003","30","33003_0195_00030","30 Rue Edouard Herriot 33440 Ambarès-et-Lagrave","33440",0.61,"Rue Edouard Herriot",425331.08,6431348.29,33440,0,,"2024-01-3425",,,"adresse géocodée ban à l'adresse","AMBARES ET LAGRAVE","33","75",7730,17779,"Électricité","périmètre de l'usage inconnu",1469,2024,5609,5609,"Gaz naturel","périmètre de l'usage inconnu",568,2024,,,,,,
"2422T0158994S","2024-01-16","2024-01-15","2024-01-14","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture",,,"C","A",135.3,3.8,2004,"5ème Catégorie","2001-2005","U : Établissements de soins",5300,335.6,100,,"86 Rue de Kerliviec
Groupe médipluriel","Saint-Quay-Perros","22324","86","22324_0054_00086","86 Rue de Kerliviec 22700 Saint-Quay-Perros","22700",0.46,"Rue de Kerliviec",226689.9,6873449.77,22700,0,,"DIA-CAI02-2401-011",,,"adresse géocodée ban à l'adresse","SAINT QUAY PERROS","22","53",21714.3,49943,"Électricité","périmètre de l'usage inconnu",3084,2023,,,,,,,,,,,,
"2469T0238883E","2024-01-22","2024-01-21","2023-09-28","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"B","C",100.3,16.2,,"5ème Catégorie","1989-2000","U : Établissements de soins",0,57.7,100,,"3 Chemin du Barthélemy","Charbonnières-les-Bains","69044","3","69044_0040_00003","3 Chemin du Barthélémy 69260 Charbonnières-les-Bains","69260",0.52,"Chemin du Barthélémy",835090.35,6521775.5,69260,0,,"DDT SCI MADAMA",,"RDC","adresse géocodée ban à l'adresse","CHARBONNIÈRES-LES-BAINS","69","84",4274.7,4274.7,"Gaz naturel","périmètre de l'usage inconnu",1376.4,2022,908,2088.4,"Électricité","périmètre de l'usage inconnu",263,2024,,,,,,
"2472T0212607R","2024-01-19","2024-01-18","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"D","B",225.7,6.3,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,49.1,100,,"11 bis rue du 11 Novembre","Pontvallain","72243","11bis","72243_0080_00011_bis","11bis Rue du 11 Novembre 72510 Pontvallain","72510",0.49,"Rue du 11 Novembre",489655.07,6742836.09,72510,0,,"24-01-080",,,"adresse géocodée ban à l'adresse","PONTVALLAIN","72","52",5299,12187.7,"Électricité","périmètre de l'usage inconnu",983,2023,,,,,,,,,,,,
"2456T0238607B","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP","2456E0238571C","2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,11.8,100,,"3 Rue de la Maladrie","Radenac","56189","3","56189_0035_00003","3 Rue de la Maladrie 56500 Radenac","56500",0.42,"Rue de la Maladrie",273937.88,6777764.87,56500,0,,"24-01-22089",,,"adresse géocodée ban à l'adresse","RADENAC","56","53",,,,,,,,,,,,,,,,,,
"2469T0190495C","2024-01-17","2024-01-16","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"B","A",34.2,1,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,71.6,100,,"48 Rue Nationale","Jonage","69279","48","69279_0480_00048","48 Rue Nationale 69330 Jonage","69330",0.62,"Rue Nationale",858785.57,6523917.49,69330,0,,"231210907",,"Etage. RDC;","adresse géocodée ban à l'adresse","JONAGE","69","84",1171.5,2694.5,"Électricité","périmètre de l'usage inconnu",184.5,2023,,,,,,,,,,,,
"2417T0236155G","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,1980,"1ère Catégorie","1978-1982","U : Établissements de soins",1,2560.8,2560.8,,"9 Place du 11 Novembre","Saintes","17415","9","17415_2545_00009","9 Place du 11 Novembre 17100 Saintes","17100",0.8,"Place du 11 Novembre",417225.97,6522655.51,17100,,"BAT 13",,,"1-Bâtiment 13-1-LogZone","adresse non géocodée ban car aucune correspondance trouvée","Saintes","17","75",,,,,,,,,,,,,,,,,,
"2449T0185859A","2024-01-17","2024-01-16","2024-01-08","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","A",129.8,3.6,,"5ème Catégorie","avant 1948","U : Établissements de soins",1,29.1,100,,"30 rue Hanneloup","Angers","49007","30","49007_3820_00030","30 Rue Hanneloup 49100 Angers","49100",0.74,"Rue Hanneloup",432872.02,6713550.71,49100,0,,"23/MD/0235",,"Etage RDC","adresse géocodée ban à l'adresse","ANGERS","49","52",1808.3,4159.2,"Électricité","périmètre de l'usage inconnu",321,2023,,,,,,,,,,,,
"2405T0224057M","2024-01-21","2024-01-20","2024-01-20","DPE 2006 tertiaire et ERP","2405T0224017Y","2034-01-19",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,112.8,100,,"6 chemin de forville","Briançon","05023","6","05023_0308_00006","6 Chemin de Forville 05100 Briançon","05100",0.6,"Chemin de Forville",986017.76,6429921.96,5100,0,,"24-01-0016-SCI CUSCO-BRIANCON/AD/27",,,"adresse géocodée ban à l'adresse","BRIANCON","05","93",,,,,,,,,,,,,,,,,,
"2413T0207173K","2024-01-19","2024-01-18","2024-01-11","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","A",126.4,3.5,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,62.8,100,,"549 Av. de Mazargues","Marseille","13208","549","13208_5943_00549","549 Avenue de mazargues 13008 Marseille","13008",0.77,"Avenue de mazargues",894531.35,6242408.61,13008,0,,"24/IMO/1379",,,"adresse géocodée ban à l'adresse","MARSEILLE 08, France","13","93",3794.3,8727,"Électricité","périmètre de l'usage inconnu",2466,2023,,,,,,,,,,,,
"2469T0195370P","2024-01-18","2024-01-17","2023-09-05","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire facture",,,"E","B",279.2,7.8,,"5ème Catégorie","1975-1977","U : Établissements de soins",0,47.1,100,,"59 rue Paul Vaillant Couturier","Pierre-Bénite","69152","59","69152_0253_00059","59 Rue Paul Vaillant-Couturier 69310 Pierre-Bénite","69310",0.6,"Rue Paul Vaillant-Couturier",841261.49,6513471.19,69310,0,,"2309-1661_SCI-DES-COMBATTANTS",,,"adresse géocodée ban à l'adresse","PIERRE BENITE","69","84",6287,14460.1,"Électricité","périmètre de l'usage inconnu",1824,2023,,,,,,,,,,,,
"2462T0206049B","2024-01-18","2024-01-17","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","A",132.2,3.7,,"5ème Catégorie","1948-1974","U : Établissements de soins",0,52.3,100,,"43-45, rue de Londres","Calais","62193","45","62193_2910_00045","45 Rue de Londres 62100 Calais","62100",0.7,"Rue de Londres",619444.29,7096619.66,62100,0,,"24-LARA-8123",,"Etage RDC","adresse géocodée ban à l'adresse","CALAIS","62","32",3305,7601.5,"Électricité","périmètre de l'usage inconnu",959,2023,,,,,,,,,,,,
"2444T0171049F","2024-01-16","2024-01-15","2024-01-10","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture",,,"F","E",466.7,49.8,,"5ème Catégorie","2001-2005","U : Établissements de soins",1,67.9,100,,"60 Rue du Leinster","La Chapelle-sur-Erdre","44035","60","44035_0003_00060","60 Rue du Leinster 44240 La Chapelle-sur-Erdre","44240",0.61,"Rue du Leinster",356069.67,6696507.75,44240,0,,"CENTRE_ATTITUDE1942",,"1er étage","adresse géocodée ban à l'adresse","LA CHAPELLE-SUR-ERDRE","44","52",9156.2,21059.3,"Électricité","périmètre de l'usage inconnu",1470.7,2023,13802,13802,"Gaz naturel","périmètre de l'usage inconnu",1036.4,2023,,,,,,
"2427T0223044J","2024-01-21","2024-01-20","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-19",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"D","B",187.2,5.2,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,78.2,100,,"51 Grande Rue","Charleval","27151","51","27151_0090_00051","51 Grande Rue 27380 Charleval","27380",0.57,"Grande Rue",582364.98,6920165.17,27380,0,,"ABCDIAG76/2024/020",,"Local commercial","adresse géocodée ban à l'adresse","CHARLEVAL","27","28",7000,16100,"Électricité","périmètre de l'usage inconnu",2030,2023,,,,,,,,,,,,
"2456T0173866A","2024-01-16","2024-01-15","2023-12-17","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture",,,"D","B",254,7.1,,"5ème Catégorie","1948-1974","U : Établissements de soins",412,181.9,100,,"18 RUE SAINT BIEUZY","Ploemeur","56162",,"56162_4307","Rue Saint-Bieuzy 56270 Ploemeur","56270",0.61,"Rue Saint-Bieuzy",218602.15,6756760.66,56270,0,,"PARO/23/8223",,"ETAGE 1","adresse géocodée ban à l'adresse","PLOEMEUR","56","53",22090,50807,"Électricité","périmètre de l'usage inconnu",5081,2023,,,,,,,,,,,,
"2492T0171089P","2024-01-16","2024-01-15","2024-01-09","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"F","C",493.1,13.7,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,44.9,100,,"25 Grande rue","Vaucresson","92076","25","92076_0410_00025","25 Grande Rue 92420 Vaucresson","92420",0.58,"Grande Rue",638112.98,6860224.71,92420,0,,"1416-(11/01/2024)",,"Bâtimet principal, Rdc","adresse géocodée ban à l'adresse","VAUCRESSON","92","11",10581,24336.3,"Électricité","périmètre de l'usage inconnu",2019.3,2023,,,,,,,,,,,,
"2413T0169711O","2024-01-16","2024-01-15","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture",,,"C","A",128.7,3.6,,"5ème Catégorie","2013-2021","U : Établissements de soins",0,17,100,,"15 Avenue de la République","Saint-Martin-de-Crau","13097","15","13097_0420_00015","15 Avenue de la République 13310 Saint-Martin-de-Crau","13310",0.63,"Avenue de la République",846014.42,6283767.64,13310,0,,"24/ADI/0034/LEC",,,"adresse géocodée ban à l'adresse","SAINT-MARTIN-DE-CRAU","13","93",1046.3,2406.6,"Électricité","périmètre de l'usage inconnu",291,2024,,,,,,,,,,,,
"2444T0170941B","2024-01-16","2024-01-15","2024-01-10","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture",,,"F","D",424,45.2,,"5ème Catégorie","2001-2005","U : Établissements de soins",10,259.4,100,,"60 Rue du Leinster","La Chapelle-sur-Erdre","44035","60","44035_0003_00060","60 Rue du Leinster 44240 La Chapelle-sur-Erdre","44240",0.61,"Rue du Leinster",356069.67,6696507.75,44240,0,,"CENTRE_ATTITUDE1941",,,"adresse géocodée ban à l'adresse","LA CHAPELLE-SUR-ERDRE","44","52",31772.6,73076.9,"Électricité","périmètre de l'usage inconnu",5103.3,2023,47893.8,47893.8,"Gaz naturel","périmètre de l'usage inconnu",3596.5,2023,,,,,,
"2468T0174059X","2024-01-16","2024-01-15","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","C",146,26,1988,"5ème Catégorie","1983-1988","U : Établissements de soins",1,,139,,"18 Rue Schickele","Colmar","68066","18","68066_3823_00018","18 Rue Schickele 68000 Colmar","68000",0.97,"Rue Schickele",1025017.5,6783919,68000,,,,,,"adresse géocodée ban à l'adresse","COLMAR","68","44",,,,,,,,,,,,,,,,,,
"2417T0185637G","2024-01-17","2024-01-16","2024-01-15","DPE 2006 tertiaire et ERP","2417T0185632B","2034-01-15",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","A",93.8,2.6,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,26.8,100,,"39 rue Berthonnière","Saintes","17415","39","17415_0500_00039","39 Rue Berthonniere 17100 Saintes","17100",0.66,"Rue Berthonniere",417280.9,6522453.98,17100,0,,"CC/PREVOT/10214",,"RDC","adresse géocodée ban à l'adresse","SAINTES","17","75",1203,2766.9,"Électricité","périmètre de l'usage inconnu",349,2023,,,,,,,,,,,,
"2486T0176594C","2024-01-17","2024-01-16","2024-01-14","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge",,,,,,,1948,"5ème Catégorie","1948-1974","U : Établissements de soins",0,67.6,100,,"8 Route de Chardonchamps - Lot 2","Migné-Auxances","86158",,"86158_1113","Route de Chardonchamp 86440 Migné-Auxances","86440",0.48,"Route de Chardonchamp",494834.5,6616740.79,86440,0,,"86440-INSIDE-01-2420887_p01",,,"adresse géocodée ban à l'adresse","MIGNÉ-AUXANCES, France","86","75",,,,,,,,,,,,,,,,,,
"2406T0207446Q","2024-01-19","2024-01-18","2024-01-17","DPE 2006 tertiaire et ERP","2406T0197312W","2034-01-17",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","A",133.5,3.7,,"5ème Catégorie","avant 1948","U : Établissements de soins",5,45.6,100,,"56 Avenue de la République","Cannes","06029","56","06029_3350_00056","56 Boulevard de la République 06400 Cannes","06400",0.76,"Boulevard de la République",1025001.03,6281399.16,6400,0,,"2023J07780 - KANOUNI",,,"adresse géocodée ban à l'adresse","CANNES","06","93",2913,6699.9,"Électricité","périmètre de l'usage inconnu",444.1,2023,,,,,,,,,,,,
"2495T0202671K","2024-01-18","2024-01-17","2023-11-22","DPE 2006 tertiaire et ERP","2495T0189896B","2034-01-16",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","1948-1974","U : Établissements de soins",0,41.2,100,,"28 rue de la république","Chaumontel","95149","28","95149_0760_00028","28 Rue de la Republique 95270 Chaumontel","95270",0.56,"Rue de la Republique",658447.89,6891725.19,95270,0,,"FX_PRUVOST_LC_23_11_2023",,,"adresse géocodée ban à l'adresse","CHAUMONTEL","95","11",,,,,,,,,,,,,,,,,,
"2444T0177819P","2024-01-17","2024-01-16","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","1948-1974","U : Établissements de soins",0,47.4,100,,"95 boulevard des Anglais","Nantes","44109","95","44109_0288_00095","95 Boulevard des Anglais 44100 Nantes","44100",0.82,"Boulevard des Anglais",353525,6690864.5,44100,0,,"24/01/16/TCH/1891",,"Etage RDC","adresse géocodée ban à l'adresse","NANTES","44","52",,,,,,,,,,,,,,,,,,
"2466T0188408S","2024-01-17","2024-01-16","2024-01-10","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture",,,"C","A",121.8,3.4,2012,"5ème Catégorie","2006-2012","U : Établissements de soins",0,56.3,100,,"Zone de l'Autoport pole médical
AV JEAN MOULIN 
1 étage au fond du couloire","Le Boulou","66024",,"66024_m3ufhp","Zone de lâ€ Autoport 66160 Le Boulou","66160",0.41,"Zone de lâ€ Autoport",684845.57,6158445,66160,0,,"2024RICHARD54220",,,"adresse géocodée ban à l'adresse","LE BOULOU","66","76",3279.7,7543.2,"Électricité","périmètre de l'usage inconnu",951.3,2023,,,,,,,,,,,,
"2417T0221591C","2024-01-20","2024-01-19","2024-01-16","DPE 2006 tertiaire et ERP","2417T0206212P","2034-01-18",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","1978-1982","U : Établissements de soins",0,9,100,,"2 Rue Albert Camus","Tonnay-Charente","17449","2","17449_0025_00002","2 Rue Albert Camus 17430 Tonnay-Charente","17430",0.53,"Rue Albert Camus",398886.86,6546272.96,17430,0,,"53158/LE DUFF_TERTIAIRE",,,"adresse géocodée ban à l'adresse","TONNAY-CHARENTE","17","75",,,,,,,,,,,,,,,,,,
"2422T0158971V","2024-01-16","2024-01-15","2024-01-14","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture",,,"C","A",135.3,3.8,2004,"5ème Catégorie","2001-2005","U : Établissements de soins",5300,335.6,100,,"86 Rue de Kerliviec
Groupe médipluriel","Saint-Quay-Perros","22324","86","22324_0054_00086","86 Rue de Kerliviec 22700 Saint-Quay-Perros","22700",0.46,"Rue de Kerliviec",226689.9,6873449.77,22700,0,,"DIA-CAI02-2401-011",,,"adresse géocodée ban à l'adresse","SAINT QUAY PERROS","22","53",21714.3,49943,"Électricité","périmètre de l'usage inconnu",3084,2023,,,,,,,,,,,,
"2477T0173433E","2024-01-16","2024-01-15","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire bâtiment neuf",,,"A","A",33.8,0.9,,"5ème Catégorie","2013-2021","U : Établissements de soins",0,5335,100,,"18 Allée du Trait d'Union","Lieusaint","77251","18","77251_1859_00018","18 Trait dâ€ Union 77127 Lieusaint","77127",0.57,"Trait dâ€ Union",666239.21,6835534.14,77127,0,,"24/LE CARRE HAUSSMANN/10043",,,"adresse géocodée ban à l'adresse","LIEUSAINT","77","11",78371,180253.3,"Électricité","périmètre de l'usage inconnu",10830.9,2024,,,,,,,,,,,,
"2434T0175902M","2024-01-17","2024-01-16","2024-01-10","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture",,,"E","B",317.9,8.8,,"5ème Catégorie","1983-1988","U : Établissements de soins",0,120.9,100,,"RESIDENCE ""BLEU MARINE"" RUE MARECHAL LECLERC
LOCAL PROFESSIONNEL","Valras-Plage","34324",,"34324","Valras-Plage","34350",0.36,,723125.69,6238590.57,34350,0,,"2024-01-0066 MD",,,"adresse géocodée ban à l'adresse","VALRAS PLAGE","34","76",18381,42276.3,"Électricité","périmètre de l'usage inconnu",5332,2024,,,,,,,,,,,,
"2456T0160811X","2024-01-16","2024-01-15","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire vierge",,,,,,,2023,"5ème Catégorie","après 2021","U : Établissements de soins",0,270.5,100,,"2 rue Marguerite Yourcenar","Saint-Avé","56206","2","56206_iirp9y_00002","2 rue Marguerite Yourcenar 56890 Saint-Avé","56890",0.45,"rue Marguerite Yourcenar",270251.87,6747376.88,56890,0,,"56.2024.01.16.502",,,"adresse géocodée ban à l'adresse","ST AVE","56","53",,,,,,,,,,,,,,,,,,
"2449T0231111M","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,2003,"5ème Catégorie","2001-2005","U : Établissements de soins",0,111.3,100,,"8 Rue de Marguerie (Andard)","Loire-Authion","49307",,"49307_0216","Rue de Marguerie 49800 Loire-Authion","49800",0.57,"Rue de Marguerie",444246.07,6711941.82,49800,0,,"DIA-CTE09-2401-042",,,"adresse géocodée ban à l'adresse","LOIRE AUTHION","49","52",,,,,,,,,,,,,,,,,,
"2433T0191080F","2024-01-17","2024-01-16","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture",,,"D","B",233.4,6.5,2013,"5ème Catégorie","2013-2021","U : Établissements de soins",0,16.1,100,,"2 Ter rue du 19 Mars 1962, La maison de la santé","Saint-Loubès","33433","2ter","33433_0205_00002_ter","2ter Rue du 19 Mars 1962 33450 Saint-Loubès","33450",0.6,"Rue du 19 Mars 1962",430254.1,6429832.39,33450,0,,"2024-01-042",,,"adresse géocodée ban à l'adresse","ST LOUBES","33","75",1795.2,4128.9,"Électricité","périmètre de l'usage inconnu",520.7,2024,,,,,,,,,,,,
"2407T0192784T","2024-01-18","2024-01-17","2023-12-18","DPE 2006 tertiaire et ERP","2407T0161332B","2034-01-16",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"D","B",193.3,5.4,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,87.5,100,,"31 et 33 avenue de la gare","Ruoms","07201","33","07201_0041_00033","33 Avenue de la Gare 07120 Ruoms","07120",0.51,"Avenue de la Gare",807000.42,6373445.94,7120,0,,"23/12/577",,,"adresse géocodée ban à l'adresse","RUOMS","07","84",8087.5,18601.3,"Électricité","périmètre de l'usage inconnu",1877,2023,,,,,,,,,,,,
"2430T0169150Q","2024-01-16","2024-01-15","2024-01-15","DPE 2006 tertiaire et ERP","2430T0169130W","2034-01-14",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","1989-2000","U : Établissements de soins",0,49,100,,"300 Avenue Saint-André de Codols","Nîmes","30189","300","30189_7088_00300","300 Avenue Saint-André de Codols 30900 Nîmes","30900",0.64,"Avenue Saint-André de Codols",809102.08,6302930.19,30900,0,,"148009",,"Etage 3; Porte Gauche","adresse géocodée ban à l'adresse","NÎMES","30","76",,,,,,,,,,,,,,,,,,
"2434T0190215Z","2024-01-17","2024-01-16","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","2006-2012","U : Établissements de soins",0,66,100,,"62 Avenue Jean Moulin
le carré d'hort Bat C 1er étage","Glorianes","66086",,"66086_lkgpyj","1er etage 66320 Glorianes","66320",0.14,,663412.12,6165636.09,34500,0,,"DIA-BUA01-2401-013",,,"adresse géocodée ban à l'adresse","BEZIERS","66","76",,,,,,,,,,,,,,,,,,
"2475T0225297W","2024-01-21","2024-01-20","2024-01-08","DPE 2006 tertiaire et ERP",,"2034-01-19",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"E","E",302.1,54.2,,"5ème Catégorie","1948-1974","U : Établissements de soins",0,26,100,,"7 cité du Cardinal Lemoine","Paris","75105","7","75105_1543_00007","7 Cité du Cardinal Lemoine 75005 Paris","75005",0.59,"Cité du Cardinal Lemoine",652524.82,6861161.23,75005,0,,"2024/01/SSZ/21121",,"Etage RDC","adresse géocodée ban à l'adresse","PARIS - 5EME","75","11",6578.5,6578.5,"Gaz naturel","périmètre de l'usage inconnu",737.5,2022,896,2060.8,"Électricité","périmètre de l'usage inconnu",259.8,2023,,,,,,
"2437T0228694B","2024-01-22","2024-01-21","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture",,,"D","B",182.1,5.1,,"5ème Catégorie","1948-1974","U : Établissements de soins",1,129,100,,"53 RUE NATIONALE","Amboise","37003","53","37003_1150_00053","53 Rue Nationale 37400 Amboise","37400",0.66,"Rue Nationale",547901.02,6703211.44,37400,0,,"24/RAPP/16091",,,"adresse géocodée ban à l'adresse","AMBOISE","37","24",11233,25835.9,"Électricité","périmètre de l'usage inconnu",2715,2024,,,,,,,,,,,,
"2433T0189375Q","2024-01-17","2024-01-16","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"E","B",301.9,8.4,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,40,100,,"6 Place de l'église
Local","Saint-Laurent-Médoc","33424","6","33424_g5w8dm_00006","6 Rue Saint Julien 33112 Saint-Laurent-Médoc","33112",0.57,"Rue Saint Julien",399767.03,6457382.97,33112,0,,"24/01/EXP0024/KLL_p01",,,"adresse géocodée ban à l'adresse","ST LAURENT MEDOC","33","75",5776,13284.8,"Électricité","périmètre de l'usage inconnu",1134,2024,,,,,,,,,,,,
"2417T0235561K","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,1960,"1ère Catégorie","1948-1974","U : Établissements de soins",1,2717,2717,,"9 Place du 11 Novembre","Saintes","17415","9","17415_2545_00009","9 Place du 11 Novembre 17100 Saintes","17100",0.8,"Place du 11 Novembre",417225.97,6522655.51,17100,,"BAT 9",,,"1-Bâtiment 9-1-LogZone","adresse non géocodée ban car aucune correspondance trouvée","Saintes","17","75",,,,,,,,,,,,,,,,,,
"2433T0201202N","2024-01-18","2024-01-17","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","après 2021","U : Établissements de soins",1,18.8,100,,"257 Avenue de la Marne (Cabinet Médical)","Mérignac","33281","257","33281_1930_00257","257 Avenue de la Marne 33700 Mérignac","33700",0.77,"Avenue de la Marne",411929.88,6421498.04,33700,0,,"2024/6181",,"1 er étage","adresse géocodée ban à l'adresse","MERIGNAC","33","75",,,,,,,,,,,,,,,,,,
"2484T0224021D","2024-01-21","2024-01-20","2024-01-19","DPE 2006 tertiaire et ERP",,"2034-01-19",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","2013-2021","U : Établissements de soins",0,40,100,,"6 Avenue des Tilleuls
Résidence les Cerisiers","Bonnieux","84020",,"84020_0868","Avenue des Tilleuls 84480 Bonnieux","84480",0.43,"Avenue des Tilleuls",885683.2,6305583.95,84480,0,,"24/IMO/0177",,,"adresse géocodée ban à l'adresse","BONNIEUX","84","93",,,,,,,,,,,,,,,,,,
"2442T0178563D","2024-01-17","2024-01-16","2024-01-08","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,82.6,100,,"4, PLACE FOURNEYRON","Saint-Étienne","42218","4","42218_3620_00004","4 Place Fourneyron 42000 Saint-Étienne","42000",0.7,"Place Fourneyron",809083.41,6483135.65,42000,0,,"511-106077",,"Etage : RDC","adresse géocodée ban à l'adresse","ST ETIENNE","42","84",,,,,,,,,,,,,,,,,,
